edge_id,length_m,infra_type,current_comfort,upgrade_cost_est,priority_category,is_candidate,population_density,comfort_gap,bixi_station_count,bixi_trip_demand,combined_demand_score,distance_to_rev,is_rev_connector,connectivity_priority,priority_with_connectivity
f7b775ded35f6fc932dc37dfdcaad56f,26.8,bande cyclable,3,53600.0,high_priority,True,4828.27759975899,2,0,0,0.38901610617116833,382.63127490616245,False,0.17487116394438948,high_priority
ac8e9856550684bf8cb00289a5ddeca0,375.09999999999997,sentier polyvalent,2,1125300.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,0.0,True,0.8407037258384107,lower_priority_connector
3a522c850742da6204948998386af307,170.4,piste cyclable en site propre,5,170400.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,133.57603131018325,False,0.17809158411696016,lower_priority
200fa9ff13cda3770863544e3008a6ac,72.0,piste cyclable en site propre,5,72000.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,1155.9276182981807,False,0.17370804445433546,lower_priority
f31a475135be0cfe5e5e0a127ce809d6,953.0999999999999,piste cyclable en site propre,5,953099.9999999999,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,7303.356766988535,False,0.1732224162113119,lower_priority
3061b161bb2fc481018ba493b3f88173,80.5,piste cyclable sur rue,4,120750.0,medium_priority,True,4828.27759975899,1,0,0,0.38901610617116833,170.6856143229884,False,0.17701936629589354,medium_priority
ecd3b8806a71d9f34895b6cad3cd437c,79.9,piste cyclable en site propre,5,79900.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,1141.6219628705092,False,0.1737152687843088,lower_priority
49fc7b0dac920282a8a3cef506993cb7,66.3,sentier polyvalent,2,198900.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,1578.4348195565613,False,0.17355368800174348,lower_priority
daf3a2df26071068d48a17487ed66913,2043.0000000000002,sentier polyvalent,2,6129000.000000001,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,1016.0819918706056,False,0.17378738319549755,lower_priority
a16402534278d35db2c04058884087ff,118.4,piste cyclable en site propre,5,118400.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,1146.5542249019381,False,0.17371275765586472,lower_priority
135937f7f3ced55dcd1a4b254e8279e0,206.1,piste cyclable en site propre,5,206100.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,793.8214046075985,False,0.17397092521621763,lower_priority
be381edd85619d63b15cabd99c377b03,34.9,piste cyclable en site propre,5,34900.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,248.41525691828616,False,0.17580757363393018,lower_priority
35f1387f40e59ee0714697235927021b,15.9,sentier polyvalent,2,47700.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,1743.9097633941471,False,0.17351360537892524,lower_priority
